SID,LON,LAT,NAME,SUPERMARKET
1.000000000000000,-3.180560000000000,55.936669999999900,EDINBURGH CAUSEWAYSIDE EXPRESS,Tesco
2.000000000000000,-3.183580000000000,55.944929999999900,EDINBURGH METRO,Tesco
3.000000000000000,-3.205180000000000,55.944440000000000,EDINBURGH EARL GREY STREET EXPRESS,Tesco
4.000000000000000,-3.211400000000000,55.934399999999900,EDINBURGH BRUNTSFIELD METRO,Tesco
5.000000000000000,-3.180140000000000,55.961440000000000,EDINBURGH LEITH WALK EXPRESS,Tesco
6.000000000000000,-3.136810000000000,55.946210000000000,EDINBURGH EXPRESS,Tesco
7.000000000000000,-3.197240000000000,55.962710000000000,EDINBURGH,Tesco
8.000000000000000,-3.232990000000000,55.926580000000000,EDINBURGH CRAIGLOCKHART EXPRESS,Tesco
9.000000000000000,-3.176300000000000,55.973799999999900,EDINBURGH GREAT JUNCTION STREET EXPRESS,Tesco
10.000000000000000,-3.236840000000000,55.910460000000000,EDINBURGH COLINTON,Tesco
11.000000000000000,-3.272690000000000,55.919220000000000,EDINBURGH WESTERHAILES,Tesco
12.000000000000000,-3.292950000000000,55.941279999999900,EDINBURGH CORSTORPHINE EXTRA,Tesco
13.000000000000000,-3.280280000000000,55.969149999999900,EDINBURGH DAVIDSON METRO,Tesco
14.000000000000000,-3.055860000000000,55.940869999999900,MUSSELBURGH,Tesco
15.000000000000000,-3.085140000000000,55.883060000000000,DALKEITH HARDENGREEN,Tesco
16.000000000000000,-3.220680000000000,55.835070000000000,PENICUIK,Tesco
17.000000000000000,-3.407100000000000,55.986969999999900,SOUTH QUEENSFERRY,Tesco
18.000000000000000,-3.356950000000000,56.036819999999900,DUNFERMILINE DALGETY BAY METRO,Tesco
19.000000000000000,-3.426230000000000,56.043469999999900,DUNFERMLINE ROSYTH METRO,Tesco
20.000000000000000,-3.159600000000000,56.111420000000000,KIRKCALDY,Tesco
21.000000000000000,-3.432850000000000,56.061669999999900,DUNFERMLINE,Tesco
22.000000000000000,-3.261030000000000,56.144269999999900,CARDENDEN EXPRESS,Tesco
23.000000000000000,-2.777710000000000,55.957110000000000,HADDINGTON,Tesco
24.000000000000000,-3.594520000000000,55.977249999999900,LINLITHGOW METRO,Tesco
25.000000000000000,-3.602700000000000,56.017319999999900,BO'NESS METRO,Tesco
26.000000000000000,-3.621520000000000,55.893590000000000,BATHGATE BLACKBURN ROAD,Tesco
27.000000000000000,-2.702740000000000,56.053300000000000,NORTH BERWICK,Tesco
28.000000000000000,-3.721030000000000,56.017960000000000,GRANGEMOUTH METRO,Tesco
29.000000000000000,-3.779540000000000,55.999090000000000,FALKIRK METRO,Tesco
30.000000000000000,-3.779900000000000,56.003770000000000,FALKIRK GRAHAMS ROAD,Tesco
31.000000000000000,-3.788400000000000,56.113750000000000,ALLOA EXTRA,Tesco
32.000000000000000,-2.804940000000000,55.614069999999900,GALASHIELS EXTRA,Tesco
33.000000000000000,-3.007200000000000,56.315629999999900,CUPAR,Tesco
34.000000000000000,-3.777210000000000,55.674759999999900,LANARK GALLOWHILL ROAD,Tesco
35.000000000000000,-3.927930000000000,55.776339999999900,WISHAW BELHAVEN EXTRA,Tesco
36.000000000000000,-3.988860000000000,55.948210000000000,GLASGOW CUMBERNAULD TRYST ROAD EXTRA,Tesco
37.000000000000000,-2.797590000000000,56.340110000000000,ST ANDREWS METRO,Tesco
38.000000000000000,-3.937980000000000,56.123159999999900,STIRLING,Tesco
39.000000000000000,-3.434320000000000,56.380569999999900,PERTH EDINBURGH ROAD,Tesco
40.000000000000000,-4.022290000000000,55.955069999999900,GLASGOW CUMBERNAULD,Tesco
41.000000000000000,-4.022340000000000,55.857419999999900,COATBRIDGE EXTRA,Tesco
42.000000000000000,-3.430730000000000,56.395020000000000,PERTH METRO,Tesco
43.000000000000000,-3.478580000000000,56.407750000000000,PERTH EXTRA,Tesco
44.000000000000000,-3.966630000000000,56.186369999999900,DUNBLANE METRO,Tesco
45.000000000000000,-4.039450000000000,55.770299999999900,HAMILTON EXPRESS,Tesco
46.000000000000000,-2.971870000000000,56.455640000000000,DUNDEE,Tesco
47.000000000000000,-2.969070000000000,56.463079999999900,DUNDEE METRO,Tesco
48.000000000000000,-3.045380000000000,56.471290000000000,DUNDEE SOUTH ROAD,Tesco
49.000000000000000,-3.008910000000000,56.473269999999900,DUNDEE LOCHEE,Tesco
50.000000000000000,-4.157900000000000,55.939540000000000,KIRKINTILLOCH METRO,Tesco
51.000000000000000,-4.133390000000000,55.808500000000000,CAMBUSLANG EXPRESS,Tesco
52.000000000000000,-4.161530000000000,55.852879999999900,GLASGOW SHETTLESTON EXTRA,Tesco
53.000000000000000,-2.993750000000000,56.482959999999900,DUNDEE EXTRA,Tesco
54.000000000000000,-2.850850000000000,56.471640000000000,BROUGHTY FERRY DALHOUSIE EXPRESS,Tesco
55.000000000000000,-2.817020000000000,56.481130000000000,DUNDEE MONIFIETH,Tesco
56.000000000000000,-4.209160000000000,55.836069999999900,GLASGOW RUTHERGLEN EXTRA,Tesco
57.000000000000000,-4.232760000000000,55.873500000000000,GLASGOW ST ROLLOX EXTRA,Tesco
58.000000000000000,-4.247600000000000,55.859879999999900,GLASGOW COCHRANE SQUARE EXPRESS,Tesco
59.000000000000000,-4.250420000000000,55.857959999999900,GLASGOW METRO,Tesco
60.000000000000000,-4.264560000000000,55.859430000000000,GLASGOW ARGYLE STREET EXPRESS,Tesco
61.000000000000000,-4.286510000000000,55.887250000000000,GLASGOW MARYHILL,Tesco
